Wavelength,x,y,z
470,0.11247,0.11750,0.77003
470,0.11214,0.11832,0.76954
470,0.11181,0.11915,0.76904
470,0.11148,0.11998,0.76854
470,0.11115,0.12082,0.76803
470,0.11082,0.12167,0.76751
471,0.11048,0.12253,0.76699
471,0.11014,0.12339,0.76647
471,0.10980,0.12426,0.76593
471,0.10946,0.12514,0.76540
471,0.10912,0.12603,0.76485
471,0.10877,0.12692,0.76430
471,0.10843,0.12783,0.76375
471,0.10808,0.12874,0.76318
471,0.10773,0.12966,0.76262
472,0.10737,0.13059,0.76204
472,0.10702,0.13152,0.76146
472,0.10666,0.13247,0.76088
472,0.10630,0.13342,0.76028
